id;measurement_summary;measure_date;measure_note;measure_address
1;Infrastructure bandwidth;2019-06-02T05:20:57;496d706c656d656e74656420436f6d707574657273;protocol Borders Tasty
2;Handcrafted;2019-06-01T14:38:07;466163696c697461746f72;Cambridgeshire
3;Borders Internal;2019-06-01T22:23:28;7061796d656e74204d61796f747465;optimal EXE optical
4;Synchronised Pizza;2019-06-02T08:15:11;6e6578742d67656e65726174696f6e205175616c6974792d666f6375736564205175616c697479;Credit Card Account
5;purple SCSI Accountability;2019-06-02T00:55:53;534153;Fresh
6;Reduced Corporate;2019-06-02T12:04:32;54656e6e65737365652067656e6572617465204164617074697665;asymmetric
7;website New York;2019-06-02T09:19:20;6578706564697465;Solomon Islands
8;Wooden radical Beauty;2019-06-02T01:43:44;636f7079696e672062656e63686d61726b205361757361676573;Licensed Directives Baht
9;Paradigm;2019-06-02T08:06:34;627970617373206861726420647269766520486f6c6c6f77;Checking Account
10;SCSI;2019-06-01T12:20:21;59656d656e69205269616c2053686f616c73206465706f736974;navigate Movies
